X;Tree;Model;Cladogenesis;Extinction;Carrying_capacity;Colonisation;Anagenesis;Likelihood
1;1;1;0.059525798;4.89E-06;434.8436986;0.000344382;1.65E-05;-1140.970052
6;2;3;0.05150758;1.38E-07;2534.986871;0.003767516;0.278421152;-1097.944342
7;3;1;0.068467222;3.63E-07;843.9316167;0.000342583;8.75E-06;-1065.417279
10;4;1;0.068722866;1.06E-06;687.5080341;0.000342582;3.72E-06;-1073.496901
14;5;2;0.071395354;4.37E-08;584.8149621;0.00033949;6.55E-07;-1079.237039
16;6;1;0.068965399;3.94E-07;370.4792687;0.000342292;2.71E-07;-1120.561573
20;7;2;0.083066626;5.05E-07;362.2051796;0.000342297;2.67E-05;-1082.194006
24;8;3;0.075723066;0.117919507;Inf;0.098024802;0.629438747;-778.4673589
26;9;2;0.074511735;4.86E-06;583.7066873;0.000344521;4.97E-07;-1060.67156
29;10;2;0.072237157;2.27E-07;436.6903572;0.000341874;1.70E-07;-1088.423666
32;11;2;0.061477189;4.48E-07;438.4138209;0.000345746;1.55E-08;-1136.027595
35;12;2;0.062629939;9.53E-07;556.2923644;0.000339863;1.84E-05;-1107.260968
39;13;3;0.063861488;5.73E-06;457.2928427;0.000337634;2.33E-07;-1116.861056
41;14;2;0.072505792;1.27E-06;515.0660963;0.000336298;1.55E-05;-1079.447077
45;15;3;0.050173627;0.006088239;Inf;0.00418649;0.251845543;-1090.051282
47;16;2;0.064650135;8.18E-07;547.9614059;0.000341937;1.56E-05;-1100.534908
51;17;3;0.073628929;2.51E-08;543.576706;0.000345006;3.64E-06;-1065.057175
54;18;3;0.06440738;1.33E-06;556.8481901;0.000337772;8.14E-07;-1093.696949
57;19;3;0.068224539;3.33E-08;538.396481;0.000341616;1.18E-05;-1087.23886
59;20;2;0.067652487;2.15E-06;615.55172;0.000337624;5.30E-05;-1079.519769
61;21;1;0.076308616;1.05E-06;377.4053786;0.0003431;8.96E-06;-1091.729321
66;22;3;0.066702581;6.22E-07;404.8439041;0.000342782;1.03E-06;-1117.134178
68;23;2;0.064191089;0.099079284;Inf;0.082805948;0.533301433;-798.3950184
72;24;3;0.064518358;3.24E-09;543.5218393;0.000343743;1.29E-06;-1101.809543
74;25;2;0.07321426;3.57E-06;426.0021557;0.000342981;1.67E-06;-1092.979652
77;26;2;0.064147281;1.36E-08;410.2978605;0.000340414;2.23E-06;-1125.1106
79;27;1;0.066342262;4.53E-08;537.3560004;0.000341961;9.17E-07;-1093.882517
84;28;3;0.066575254;0.100545548;Inf;0.084071448;0.531943588;-834.476159
85;29;1;0.076393156;6.63E-06;1656.076038;0.000340028;1.52E-06;-1025.84216
90;30;3;0.072491334;2.51E-07;346.5801928;0.000342644;2.49E-06;-1117.210198
92;31;2;0.077522771;1.39E-08;713.3083721;0.000338521;3.41E-05;-1044.517228
96;32;3;0.05916592;0.016912292;Inf;0.004940326;0.257646203;-1090.949143
98;33;2;0.072224962;1.11E-06;524.2583721;0.000346738;8.60E-08;-1075.466381
102;34;3;0.076114902;9.26E-08;348.5205519;0.000342147;2.25E-07;-1104.039502
105;35;3;0.042297986;2.75E-08;3057.571754;0.003792363;0.197731143;-1130.952958
107;36;2;0.065089149;1.22E-06;456.5796953;0.000342324;1.91E-05;-1111.88672
111;37;3;0.085260595;0.129501273;Inf;0.105358996;0.834753734;-809.4885269
